ID,Site,Biomass,Copepods,Small_Copepods,Big_Copepods,Jelly_Fish,Snail,Bryozoa,Dinoflagellata,Bivalvia,Platyhelminthea,Britlestar,Chaetognatha,Echinodermata,Cnidaria,Zooplankton_all,Fjord,Lat,Lon,Fjord,Loc
1,M1,3.688533333,53,43,10,2,0,0,0,0,0,0,0,0,0,55,Mistfjord,67.4487778,14.9053889,Mistfjord,A
2,M1,3.688533333,60,49,11,0,0,1,0,0,0,0,0,0,0,61,Mistfjord,67.4487778,14.9053889,Mistfjord,A
3,M1,3.688533333,62,59,3,0,0,14,3,0,0,0,0,1,0,80,Mistfjord,67.4487778,14.9053889,Mistfjord,A
4,M2,26.29546667,243,163,80,0,2,23,1,9,0,0,0,0,0,278,Mistfjord,67.4601389,14.7948056,Mistfjord,B
5,M2,26.29546667,214,210,4,0,1,15,2,0,0,0,0,0,0,232,Mistfjord,67.4601389,14.7948056,Mistfjord,B
6,M2,26.29546667,169,164,5,0,4,6,0,0,0,0,0,0,0,179,Mistfjord,67.4601389,14.7948056,Mistfjord,B
7,M3,41.80266667,280,210,70,0,6,4,0,7,1,0,0,0,0,298,Mistfjord,67.4609722,14.7040556,Mistfjord,C
8,M3,41.80266667,275,147,128,0,2,0,0,0,0,1,0,0,0,278,Mistfjord,67.4609722,14.7040556,Mistfjord,C
9,M3,41.80266667,411,402,9,0,16,18,17,0,0,0,0,0,7,469,Mistfjord,67.4609722,14.7040556,Mistfjord,C
10,M4,12.67946667,240,233,7,0,0,0,0,0,0,0,0,0,0,240,Saltfjord,67.17095,14.40564,Saltfjord,A
11,M4,12.67946667,193,186,7,0,0,2,1,0,0,0,0,0,0,196,Saltfjord,67.17095,14.40564,Saltfjord,A
12,M4,12.67946667,143,137,6,0,0,0,0,0,0,0,0,0,1,144,Saltfjord,67.17095,14.40564,Saltfjord,A
13,M5,33.98613333,357,342,15,1,1,5,3,0,0,0,0,0,0,367,Saltfjord,67.15762,14.32797,Saltfjord,B
14,M5,33.98613333,356,332,24,0,3,0,1,0,0,0,1,0,0,361,Saltfjord,67.15762,14.32797,Saltfjord,B
16,M6,14.34986667,134,130,4,1,0,0,0,0,0,0,0,0,0,135,Saltfjord,67.14614,14.23016,Saltfjord,C
17,M6,14.34986667,172,160,12,0,0,4,0,0,0,0,0,0,0,176,Saltfjord,67.14614,14.23016,Saltfjord,C
18,M6,14.34986667,292,285,7,0,3,0,0,0,0,0,0,0,0,295,Saltfjord,67.14614,14.23016,Saltfjord,C
